0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
50.5911,49.3085,50.3172,49.995,50.7079,50.3456,50.0935,49.2361,50.0024,49.9672,49.8688,50.3291,49.323,49.4171,49.154,49.9914,49.2962,50.7174,0.3
50.6328,49.2099,50.6974,50.0389,50.8124,50.7362,49.9528,49.3269,49.9989,49.9325,49.9193,50.7842,49.1662,49.3313,49.1258,49.9234,49.2883,50.7947,0.35
50.9062,49.225,50.8584,50.0298,50.8569,50.8163,50.0387,49.2221,49.9679,49.9222,50.0702,50.7547,49.0355,49.2496,49.1254,50.0028,49.1498,50.7735,0.4
50.9449,49.165,50.8119,50.1124,50.9819,50.9741,50.1016,49.1854,49.9917,49.938,49.8924,50.8545,49.1373,49.2047,49.2049,50.0348,48.9888,50.7775,0.45
50.9861,49.1743,50.7878,50.1208,51.0968,50.9633,50.2669,49.1455,49.904,49.9882,50.057,50.8442,49.0101,49.1442,49.1933,49.9967,48.9787,50.9702,0.5
51.0904,49.0824,50.8753,49.9714,51.124,50.9455,50.1503,49.096,49.9115,49.9341,50.0936,50.8328,49.0624,49.1715,49.0952,49.9252,49.0073,50.9731,0.55
50.9963,48.9855,50.9665,50.0978,51.1704,51.021,50.1018,49.1387,49.9712,50.0125,50.0272,50.9897,48.942,49.122,49.0608,50.0424,48.9882,51.0418,0.6
51.0771,49.1385,50.9872,50.1195,51.1752,50.9375,50.1616,49.0269,49.9537,49.9207,49.9456,50.9746,48.8815,49.0433,48.9479,49.9979,48.99,51.0055,0.65
51.0117,48.9769,51.0551,50.0854,51.2459,50.9579,50.1174,49.0364,49.9653,49.8569,50.0187,51.1167,48.8119,49.0064,48.9962,49.9827,48.9256,50.9774,0.7
51.1349,48.7822,51.0939,50.0999,51.3482,51.0213,50.0971,48.9802,49.9362,49.8445,49.9924,51.1932,48.728,48.9836,48.9235,50.0197,48.7783,51.1298,0.75
51.0917,48.5957,51.1979,50.0436,51.6438,51.1918,50.1527,48.8078,49.9654,49.9573,49.8376,51.2152,48.444,48.8809,48.9367,50.0683,48.8713,51.2051,0.8
51.2209,48.3543,51.2849,50.0035,51.7262,51.511,50.1059,48.4389,49.9443,50.0007,49.94,51.3293,48.3598,48.7336,48.5539,50.0508,48.31,51.9533,0.85
51.6697,48.1298,51.7293,49.9829,51.8808,51.7541,50.0526,48.174,50.0504,49.9739,49.8244,51.811,48.3249,48.3669,48.3895,50.0188,48.2329,51.9322,0.9
51.7936,48.1946,51.7396,49.9931,51.9799,51.8344,50.0562,48.0808,50.0595,49.9722,49.8199,51.9063,48.2451,48.2502,48.2768,49.9615,48.1294,51.8445,0.95
51.9054,48.0454,51.7155,49.8878,52.0626,51.7304,50.2125,48.017,49.9772,49.8758,49.8736,51.9139,48.1644,48.0843,48.276,49.8514,48.11,51.9311,1.0
